id,name,brand,category,price,rating,review_count,description,source
1,Samsung Galaxy S24 Ultra,Samsung,electronics,124999,4.6,3842,"The Samsung Galaxy S24 Ultra features a 6.8-inch Dynamic AMOLED 2X display, Snapdragon 8 Gen 3 processor, 200MP camera system, and 5000mAh battery with 45W fast charging. Comes with S Pen included.",amazon.in
2,Apple iPhone 15 Pro,Apple,electronics,134900,4.7,5120,"Apple iPhone 15 Pro features a 6.1-inch Super Retina XDR display with ProMotion, A17 Pro chip, 48MP main camera, titanium design, and USB-C connectivity.",amazon.in
3,OnePlus 12,OnePlus,electronics,64999,4.4,2105,"OnePlus 12 sports a 6.82-inch 2K AMOLED display with 120Hz refresh rate, Snapdragon 8 Gen 3, Hasselblad triple camera, and 100W SUPERVOOC charging.",flipkart.com
4,Xiaomi 14,Xiaomi,electronics,59999,4.3,1890,"Xiaomi 14 features Leica optics with a 50MP triple camera system, Snapdragon 8 Gen 3, 4610mAh battery with 90W wired charging, and a compact 6.36-inch display.",flipkart.com
5,Realme GT 5 Pro,Realme,electronics,39999,4.2,987,"Realme GT 5 Pro offers Snapdragon 8 Gen 3, 6.78-inch AMOLED display, 144Hz, 50MP triple camera, and 100W fast charging in a premium glass body.",amazon.in
6,Sony WH-1000XM5,Sony,electronics,29990,4.8,7231,"Industry-leading noise canceling wireless headphones with up to 30 hours battery life, multipoint connection, speak-to-chat technology, and premium sound quality.",amazon.in
7,JBL Flip 6,JBL,electronics,9499,4.5,4102,"Portable waterproof Bluetooth speaker with bold JBL Original Pro Sound, IP67 rating, 12 hours playtime, and PartyBoost feature to link multiple speakers.",amazon.in
8,Boat Airdopes 141,Boat,electronics,1299,4.1,15023,"True wireless earbuds with 42-hour playtime, BEAST Mode for low latency gaming, IPX4 water resistance, and environmental noise cancellation.",flipkart.com
9,Apple MacBook Air M2,Apple,electronics,114900,4.8,2934,"MacBook Air with M2 chip delivers up to 18 hours battery life, fanless design, Liquid Retina display, and MagSafe charging in an ultra-thin aluminum enclosure.",amazon.in
10,Dell XPS 15,Dell,electronics,155990,4.5,1231,"Dell XPS 15 features a 15.6-inch OLED display, 13th Gen Intel Core i7, NVIDIA GeForce RTX 4060, 32GB RAM, and precision-crafted aluminum body.",amazon.in
11,Lenovo ThinkPad X1 Carbon,Lenovo,electronics,149990,4.6,876,"Ultra-light business laptop with 14-inch display, Intel Core i7, up to 15 hours battery life, MIL-SPEC durability, and premium keyboard experience.",amazon.in
12,ASUS ROG Zephyrus G14,Asus,electronics,139990,4.7,1543,"Gaming laptop with AMD Ryzen 9 6900HS, Radeon RX 6700S, 14-inch QHD 120Hz display, 76Wh battery, and innovative AniMe Matrix LED display.",flipkart.com
13,HP Pavilion x360,HP,electronics,67990,4.2,2089,"2-in-1 convertible laptop with 14-inch FHD touchscreen, Intel Core i5, 8GB RAM, 512GB SSD, and 360-degree hinge for versatile use modes.",amazon.in
14,Samsung Galaxy Tab S9,Samsung,electronics,72999,4.5,1340,"Premium Android tablet with 11-inch Dynamic AMOLED 2X display, Snapdragon 8 Gen 2, IP68 rating, S Pen included, and DeX desktop experience.",amazon.in
15,iPad Air M2,Apple,electronics,59900,4.7,2891,"iPad Air with M2 chip features a 11-inch Liquid Retina display, 12MP rear camera, USB-C, Magic Keyboard compatibility, and all-day battery.",amazon.in
16,Logitech MX Master 3S,Logitech,electronics,9995,4.8,3421,"Ergonomic wireless mouse with 8K DPI sensor, MagSpeed electromagnetic scroll wheel, quiet clicks, USB-C charging, and multi-device connectivity.",amazon.in
17,Keychron K2 Pro,Keychron,electronics,8499,4.6,1209,"Compact 75% wireless mechanical keyboard with hot-swappable switches, RGB backlighting, Mac and Windows layout, and Bluetooth 5.1 connectivity.",amazon.in
